apartment,area,floor,lease_mode,orientation,price,quarters,renovation,s
1室1厅1卫,40平米,中层,整租,南,2500,"华荟大厦,越秀,农讲所,距6号线团一大广场站约279米,万福路19-95号",精装修,华荟大厦 电梯一房一厅 精美装修 团一大地铁站
2室2厅1卫,94平米,高层,整租,南北,7500,"万科金色家园(越秀),越秀,东风东,距5号线区庄站约546米,东风东路746号",豪华装修,万科金色家园 92平方正南向两房 高层安静正南向 家电齐全
3室2厅2卫,91平米,中层,整租,西北,6500,"东风广场二期,越秀,东风东,距5号线动物园站约412米,东风东路787号",精装修,东风广场二期 安静 望花园 小三房带主套 精装修 约看
1室1厅1卫,100平米,低层,整租,南,690,"仓边路小区,越秀,小北,距1号线农讲所站约450米,广州越秀",简单装修,仓边路小区1室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1250,"聚仁坊,越秀,农讲所,距6号线团一大广场站约514米,广州越秀",简单装修,聚仁坊3室2厅1卫
1室1厅1卫,100平米,低层,整租,南,800,"云鹤北街小区,越秀,黄花岗,距5号线动物园站约195米,广州越秀",简单装修,云鹤北街小区1室1厅1卫
2室1厅1卫,40平米,低层,整租,南北,3000,"农林下路大院,越秀,东山,距6号线东山口站约467米,环市东路农林下路",精装修,农林下路大院2室1厅1卫
2室2厅1卫,98平米,中层,整租,南,4230,"麓湖盛景,越秀,麓景路,距5号线小北站约635米,麓景西路36号",精装修,麓景路原装电梯大两房 低价出租 本人有锁匙随时可看房！
1室1厅1卫,45平米,中层,整租,南,780,"东华东路小区,越秀,东山,距1号线烈士陵园站约655米,内环路东华东路",精装修,越秀东山东华东路小区 45平米1室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1250,"中曦大厦,越秀,海珠广场,距1号线公园前站约461米,广州越秀",简单装修,中曦大厦2室1厅1卫
3户合租,96平米,高层,次卧(合租),南北,1300,"*房淘金北路正平北街小区(越秀/淘金),淘金北路正平北街小区",精装修,越秀淘金*房淘金北路正平北 3户合租96平米
1室0厅1卫,40平米,高层,整租,南,1900,"金海楼,越秀,淘金,距5号线淘金站约702米,越秀区永泰路",简单装修,金海楼1室0厅1卫
3户合租,96平米,高层,次卧(合租),南北,1500,"*房淘金北路正平北街小区(越秀/淘金),淘金北路正平北街小区",精装修,越秀淘金*房淘金北路正平北 3户合租96平米
1室1厅1卫,22平米,中层,整租,南,2300,"丽水坊,越秀,北京路,距1号线农讲所站约331米,德政路丽水坊小区",简装修,丽水坊1室1厅1卫
2室2厅1卫,87平米,高层,整租,东南,3200,"宝汉直街小区,越秀,小北,距5号线小北站约491米,越秀区宝汉直街",简装修,宝汉直街小区2室2厅1卫
1室1厅1卫,60平米,高层,整租,南,6000,"中山三33号中华国际中心(越秀/农讲所),越秀区中山三路33号",简装修,中山三33号中华国际中心1室1厅1卫
2户合租,94平米,高层,次卧(合租),南,1334,"越华路小区,越秀,农讲所,距1号线公园前站约657米,仓边路越华路",精装修,越华路小区 合租 次卧94平米3室1厅1卫限男生
2户合租,20平米,高层,次卧(合租),南,1400,"南堤二马路小区,越秀,北京路,距6号线北京路站约429米,越秀区南堤二马路",简装修,南堤二马路小区合租次卧3室2厅2卫性别不限
1室1厅1卫,45平米,中层,整租,南北,800,"广医小区宿舍,越秀,解放北,距2号线越秀公园站约904米,越秀区东风西路195号",精装修,越秀解放北广医小区宿舍 45平米1室1厅1卫
2户合租,10平米,中层,次卧(合租),不限,1300,"中冠大厦,越秀,五羊新城,距5号线五羊邨站约593米,明月路",简单装修,越秀请选择商圈中冠大厦 10平米3室1厅1卫
2户合租,60平米,高层,主卧(合租),东,1200,"五羊新城A区,越秀,五羊新城,距5号线五羊邨站约170米,广州越秀",简装修,五羊新城A区 合租3室1厅1卫60平米(个人)
2室2厅1卫,91平米,低层,整租,南北,5200,"佳地华苑大厦,越秀,五羊新城,距5号线五羊邨站约346米,寺右新马路77至79号",精装修,佳地华苑大厦2室2厅1卫
2室2厅1卫,87平米,中层,整租,南,5300,"银山大厦,越秀,小北,距1号线农讲所站约528米,越秀区仓边路93至95号",精装修,越秀小北银山大厦 87平米2室2厅1卫 生活便利 拎包入住 *
1室0厅0卫,17平米,中层,整租,南,1500,"寺右新马路10号(越秀/五羊新城),越秀区寺右新马路10号",简单装修,寺右新马路10号1室0厅0卫
2户合租,10平米,低层,次卧(合租),北,1650,"东湖御苑,越秀,大沙头,距6号线东湖站约417米,东湖路永胜上沙1号",豪华装修,东湖御苑 合租 次卧10平米3室2厅2卫限女生
2室1厅1卫,75平米,高层,整租,东南,3200,"广园西路小区,越秀,环市东,距2号线三元里站约716米,广园西路(三元里机场高速旁)",精装修,越秀环市东广园西路小区 75平米2室1厅1卫
2室1厅1卫,88平米,高层,整租,南北,5500,"丽苑大厦(越秀/北京路),东华西路113号",简装修,越秀北京路丽苑大厦 88平米2室1厅1卫
3室1厅1卫,77平米,中层,整租,南北,3800,"水荫一横路小区,越秀,环市东,距6号线沙河顶站约353米,越秀区水荫一横路",精装修,邻环市东地铁5号线动物园南门6号线沙河顶水荫一横路精装3居
2室2厅1卫,90平米,中层,整租,南北,3600,"越秀-黄花岗+永福楼(越秀/黄花岗),永福路42号",豪华装修,越秀黄花岗越秀-黄花岗 永福楼 90平米2室2厅1卫
1室1厅1卫,30平米,高层,整租,东南,1800,"越秀大南路小区,越秀,北京路,距6号线北京路站约373米,越秀区大南路",简单装修,越秀北京路越秀大南路小区 30平米1室1厅1卫
1室0厅1卫,35平米,低层,整租,南北,2300,"淘金北小区,越秀,淘金,距5号线淘金站约718米,淘金北路正平中街",精装修,淘金北小区1室0厅1卫
3室1厅1卫,90平米,高层,整租,南北,4800,"科苑社区(越秀/黄花岗),先烈中路81号大院",精装修,越秀黄花岗科苑社区 90平米3室1厅1卫
2室2厅1卫,76平米,高层,整租,南,3600,"东昌南街小区,越秀,东川路,距1号线烈士陵园站约532米,中山三路东昌南街",精装修,东昌南街小区2室2厅1卫
1室1厅1卫,45平米,中层,整租,南,780,"麓景路大院,越秀,麓景路,距5号线小北站约1164米,麓景路近狮带岗中路",精装修,越秀麓景路麓景路大院 45平米1室1厅1卫
2室1厅0卫,65平米,中层,整租,不限,3500,"恒福路93号大院(越秀/麓景路),恒福路93号大院",简单装修,恒福路93号大院 65平米2室1厅
1室0厅1卫,45平米,中层,整租,东南,1800,"署前路大院,越秀,东山,距1号线东山口站约140米,东山口署前路",中装修,署前路大院 整租 1室0厅1卫 45平米(个人)
2室1厅1卫,70平米,高层,整租,南,3200,"黄华路小区(越秀/小北),黄华路中约外街12号602房",简装修,越秀小北中华商圈，黄华路小区 70平米2房1厅
1室0厅1卫,25平米,中层,整租,南,1400,"恒福路小区,越秀,淘金,距5号线淘金站约71米,恒福路近横枝岗路",简单装修,恒福路小区1室0厅1卫
3室2厅1卫,115平米,高层,整租,南,7500,"百好居,越秀,杨箕,距6号线东山口站约225米,中山一路96号与98号",豪华装修,百好居 整租 3室2厅1卫 115平米(个人)
1室1厅1卫,45平米,中层,整租,东,780,"越秀大石街大院,越秀,小北,距2号线纪念堂站约607米,小北路大石街",精装修,越秀小北越秀大石街大院 45平米1室1厅1卫
2室2厅1卫,81平米,低层,整租,南,7000,"富力东堤湾,越秀,杨箕,距1号线杨箕站约255米,中山一路金羊三街",简单装修,富力东堤湾2室2厅1卫
3室2厅1卫,84平米,中层,整租,东南,5800,"农林上路小区,越秀,东山,距6号线东山口站约280米,农林上路和农林下路交汇",豪华装修,越秀东山农林上路小区 84平米3室2厅1卫
1室1厅1卫,35平米,中层,整租,南,1280,"犀牛路小区,越秀,东山,距5号线区庄站约214米,农林下路犀牛路",简装修,犀牛路小区 整租 1室1厅1卫 35平米(个人)
1室1厅1卫,22平米,中层,整租,不限,2300,"丽水坊(越秀/农讲所),德政中路丽水坊21号",简单装修,越秀农讲所丽水坊 22平米1室1厅1卫
1室0厅0卫,10平米,中层,整租,不限,1300,"横枝岗路小区,越秀,淘金,距5号线淘金站约1167米,越秀区淘金横枝岗路",简单装修,越秀淘金横枝岗路小区 10平米1室
3室1厅1卫,76平米,高层,整租,南,2000,"下塘西小区,越秀,麓景路,距5号线小北站约456米,下塘西路",简单装修,下塘西小区3室1厅1卫
1室1厅1卫,40平米,低层,整租,南,2900,"新南街大院,越秀,东山,距1号线东山口站约569米,东华东路新南街",简单装修,新南街大院1室1厅1卫
3户合租,60平米,低层,床位(合租),东南,320,"朱紫街小区,越秀,解放北,距2号线越秀公园站约406米,盘福路朱紫街",简装修,越秀解放北朱紫街小区 床位出租
2室1厅1卫,40平米,高层,整租,南北,3200,"五羊新城E区,越秀,五羊新城,距5号线五羊邨站约164米,寺右南三街(南方报社东侧800米)",精装修,五羊新城E区2室1厅1卫
4室1厅1卫,91平米,高层,整租,南,5500,"较场小苑,越秀,东川路,距1号线烈士陵园站约207米,越秀区较场东路17号",豪华装修,越秀东川路较场小苑 91平米4室1厅1卫
2室1厅1卫,51平米,高层,整租,不限,3300,"大新路大院,越秀,解放南,距6号线一德路站约311米,越秀区大新路",简单装修,越秀解放南大新路大院 51平米2室1厅1卫
2室1厅1卫,50平米,中层,整租,南北,3300,"金麓山庄,越秀,小北,距5号线小北站约1125米,下塘西131号至157号",中等装修,电梯房金麓山庄  2室1厅1卫  超实用
1室0厅1卫,31平米,中层,整租,南,2000,"德政中路小区,越秀,农讲所,距1号线农讲所站约381米,德政中路",简装修,德政中路小区1室0厅1卫
3室1厅1卫,70平米,低层,整租,南,2000,"小北大厦,越秀,小北,距5号线小北站约747米,越秀区小北路126-134号",简装修,小北大厦 整租 3室1厅1卫 70平米(个人)
1室1厅1卫,45平米,中层,整租,东南,700,"华乐路小区,越秀,建设路,距5号线淘金站约335米,华乐路与青龙坊交汇",精装修,越秀建设路华乐路小区 45平米1室1厅1卫
1室0厅1卫,30平米,高层,整租,南北,1350,"中山六路小区,越秀,西门口,距1号线西门口站约243米,中山六路玛瑙巷",精装修,中山六路小区 整租 1室0厅1卫 30平米(个人)
1室1厅1卫,100平米,低层,整租,南,1100,"寺右新马路小区,越秀,五羊新城,距5号线五羊邨站约495米,广州越秀",简单装修,寺右新马路小区2室1厅1卫
1室0厅0卫,30平米,高层,整租,南北,1350,"公园前小区,越秀,北京路,距1号线公园前站约104米,解放中路与中山五路交汇处",精装修,公园前小区 整租 1室0厅0卫 30平米(个人)
1室1厅1卫,100平米,低层,整租,南,980,"建设五马路小区,越秀,建设路,距5号线淘金站约276米,广州越秀",简单装修,建设五马路小区2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1100,"狮带岗小区,越秀,麓景路,距5号线小北站约737米,广州越秀",简单装修,狮带岗小区2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1600,"农林上路小区,越秀,东山,距6号线东山口站约280米,广州越秀",简单装修,农林上路小区1室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1200,"共和三路小区,越秀,共和路,距1号线杨箕站约421米,广州越秀",简单装修,共和三路小区3室2厅1卫
1室1厅1卫,100平米,低层,整租,南,1280,"小北路小区,越秀,小北,距5号线小北站约796米,广州越秀",简单装修,小北路小区3室2厅1卫
1室1厅1卫,50平米,中层,整租,不限,4200,"君华上域,越秀,水荫路,距6号线沙河顶站约50米,先烈东路和水荫路交界处",简单装修,越秀水荫路君华上域 50平米1室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1280,"双井街大院,越秀,盘福路,距2号线越秀公园站约457米,广州越秀",简单装修,双井街大院3室2厅1卫
1室1厅1卫,100平米,低层,整租,南,1600,"水荫直街小区,越秀,水荫路,距5号线动物园站约545米,广州越秀",简单装修,水荫直街小区1室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1500,"东风西路小区,越秀,农讲所,距1号线陈家祠站约879米,广州越秀",简单装修,东风西路小区1室1厅1卫
1室1厅1卫,55平米,低层,整租,南,5500,"御江苑,越秀,北京路,距6号线北京路站约427米,南堤二马路36-40号",简单装修,御江苑 整租 1室1厅1卫 55平米(个人)
1室1厅1卫,100平米,低层,整租,南,950,"龟岗大马路小区,越秀,东山,距1号线东山口站约441米,广州越秀",简单装修,龟岗大马路小区2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1250,"越秀解放北路小区,越秀,解放北,距2号线越秀公园站约146米,广州越秀",简单装修,越秀解放北路小区3室2厅1卫
1室1厅1卫,100平米,低层,整租,南,950,"御江苑,越秀,北京路,距6号线北京路站约427米,广州越秀",简单装修,御江苑2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1050,"中山三路小区,越秀,东川路,距1号线烈士陵园站约388米,广州越秀",简单装修,中山三路小区2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,980,"龟岗大马路小区,越秀,东山,距1号线东山口站约441米,广州越秀",简单装修,龟岗大马路小区2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1200,"海月街小区,越秀,东川路,距6号线团一大广场站约307米,广州越秀",简单装修,海月街小区2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,950,"天秀大厦,越秀,小北,距5号线小北站约229米,广州越秀",简单装修,天秀大厦2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1500,"东郊市场社区,越秀,杨箕,距1号线杨箕站约258米,广州越秀",简单装修,东郊市场社区1室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1250,"竹丝岗二马路小区,越秀,东山,距6号线东山口站约460米,广州越秀",简单装修,竹丝岗二马路小区3室2厅1卫
1室1厅1卫,100平米,低层,整租,南,1100,"较场西路体委大院,越秀,东川路,距1号线烈士陵园站约500米,广州越秀",简单装修,较场西路体委大院2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,650,"东风东路小区,越秀,东风东,距5号线动物园站约574米,广州越秀",简单装修,东风东路小区1室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1500,"横枝岗路小区,越秀,淘金,距5号线淘金站约1167米,广州越秀",简单装修,横枝岗路小区1室1厅1卫
1室1厅1卫,100平米,低层,整租,南,980,"麓湖御景,越秀,淘金,距5号线淘金站约573米,广州越秀",简单装修,麓湖御景2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1600,"寺贝底侧小区,越秀,共和路,距1号线杨箕站约503米,广州越秀",简单装修,寺贝底侧小区1室1厅1卫
1室1厅1卫,100平米,低层,整租,南,980,"黄田小区,越秀,小北,距5号线小北站约423米,广州越秀",简单装修,黄田小区2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,980,"竹丝岗二马路小区,越秀,东山,距6号线东山口站约460米,广州越秀",简单装修,竹丝岗二马路小区2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,530,"东风西路小区,越秀,农讲所,距1号线陈家祠站约879米,广州越秀",简单装修,东风西路小区1室1厅1卫
3室1厅1卫,85平米,中层,整租,南,6800,"东华东路小区,越秀,东山,距1号线烈士陵园站约655米,内环路东华东路",简装修,东华东路 电梯南向三房 家私电器全齐 拎包入住 随时可看
2室1厅1卫,78平米,高层,整租,东,4200,"兴城大厦,越秀,五羊新城,距5号线五羊邨站约518米,寺右新马路25号",精装修,冠城大厦 电梯高层两房 家电齐全 拎包入住
2室1厅1卫,60平米,低层,整租,东南,4000,"菜园东小区,越秀,东山,距1号线烈士陵园站约670米,中山二路菜园东街",精装修,菜园北 二房一厅 精装修 家电齐全 采光一流 大阳台 月租4000
1室1厅1卫,100平米,低层,整租,南,1000,"先烈中路81号大院,越秀,黄花岗,距6号线黄花岗站约140米,广州越秀",简单装修,先烈中路81号大院2室1厅1卫
2室1厅1卫,60平米,中层,整租,南北,3500,"越秀东园新村,越秀,东山,距6号线东山口站约480米,农林东路17号",中装修,东园新村 东山口站 两房一厅 通风采光 近地灬铁 拧包入住
2室2厅1卫,73平米,中层,整租,东,6000,"东鸣轩,越秀,农讲所,距1号线农讲所站约170米,中山四路199号至231号",精装修,东鸣轩 中山四路 精装三房 近农讲所地鉄站 全明屋 采光通风一流
2室1厅1卫,65平米,高层,整租,南,3500,"德政中路小区,越秀,农讲所,距1号线农讲所站约381米,德政中路",精装修,高层精装修两房 家私电齐 采光通风好 商圈 随时约
1室1厅1卫,100平米,低层,整租,南,880,"桂花岗小区,越秀,解放北,距2号线广州火车站约1004米,广州越秀",简单装修,桂花岗小区1室1厅1卫
2室1厅1卫,83平米,中层,整租,西北,6500,"富力东堤湾,越秀,杨箕,距1号线杨箕站约255米,中山一路金羊三街",精装修,东堤湾 精装2房 走过路过 切勿错过
2室2厅1卫,92平米,高层,整租,南,7500,"万科金色家园(越秀),越秀,东风东,距5号线区庄站约546米,东风东路746号",精装修,万科金色家园 安静 高层南向 两房 双阳台 楼龄新
1室1厅1卫,38平米,高层,整租,西北,600,"府前铭泰,越秀,北京路,距1号线公园前站约168米,中山五路217－255号",精装修,精装 环境舒适朝南好采光 屋内宽敞整洁 好房不多
1室1厅1卫,45平米,高层,整租,南北,2000,"丹桂里社区,越秀,小北,距1号线农讲所站约817米,小北路丹桂里",豪华装修,丹桂里社区一房一厅带平台花园 可打太极可 任意玩转广州
5室2厅3卫,420平米,中层,整租,南北,35000,"凯旋会,越秀,五羊新城,距5号线五羊邨站约659米,越秀区广州大道中明月一路11至23号",精装修,有家有爱有温馨！凯旋会大花园社区 让您享受生活
2室1厅1卫,58平米,中层,整租,南,2800,"共和村小区,越秀,共和路,距1号线杨箕站约563米,中山一路共和村",精装修,杨箕站附近5路程 共和小区 南北向通风采光好 家私家电齐全
3室2厅2卫,125平米,低层,整租,南,8500,"竹怡居,越秀,小北,距5号线小北站约545米,越秀北路398号",精装修,小北越秀北路竹怡居 电梯三房带主套 南向大阳台 市委旁
1室0厅1卫,35平米,低层,整租,南,2500,"兴仁里小区,越秀,东川路,距6号线团一大广场站约605米,东华西路兴仁里",精装修,兴仁里 1楼大单间 精装修 近地铁1号线
1室0厅1卫,48平米,高层,整租,南,4600,"小北御景,越秀,小北,距5号线小北站约637米,小北路198号地段",精装修,实景图片 高尚住宅 邻近小北地/铁与越秀公/园 生活交通便捷
3室2厅2卫,108平米,中层,整租,南北,5000,"国龙大厦,越秀,小北,距5号线小北站约460米,环市中路276号",精装修,小北地铁站电梯3房2厅2卫 精装修南向望公园 采光 通风好
1室1厅1卫,100平米,低层,整租,南,800,"旧北园,越秀,小北,距5号线小北站约433米,广州越秀",简单装修,旧北园1室1厅1卫
2室2厅1卫,66平米,中层,整租,东南,3600,"东贤里小区,越秀,农讲所,距1号线烈士陵园站约637米,中山三路东贤里",豪华装修,中华广场旁边豪装两室 全新家电 出门就是地钱口 真真真
3室2厅1卫,115平米,中层,整租,南北,4000,"六榕路小区,越秀,解放北,距1号线公园前站约463米,越秀区六榕路",简装修,东南北向大三房，三个大阳台，一梯两户，大院管理，随时可以看房
1室1厅1卫,47平米,低层,整租,西南,4500,"富力东堤湾,越秀,杨箕,距1号线杨箕站约255米,中山一路金羊三街",精装修,东堤湾 一房一厅 精装修 近地铁
2室1厅1卫,68平米,高层,整租,南,3800,"福莱花园,越秀,环市东,距5号线动物园站约534米,水荫路水荫直街西六巷23号至27号",精装修,动物园地铁站附近 电梯两房 装修保养都不错，家私齐全 拎包入住
2室1厅1卫,60平米,中层,整租,南,3200,"人民中路小区,越秀,西门口,距1号线西门口站约194米,人民中路海珠中路",中装修,西门口中装2房
2室1厅1卫,46平米,低层,整租,东,3200,"东环路2号大院,越秀,东风东,距5号线动物园站约265米,越秀区东环路2号",精装修,东环路 方正2房 温馨住家 拎包入住 交通便利 采光充足
3室1厅1卫,80平米,高层,整租,南,6800,"东华东路小区,越秀,东山,距1号线烈士陵园站约655米,内环路东华东路",精装修,东湖公园 东华东路 中层电梯三房 家私家电齐全 只需6800
2室1厅1卫,50平米,中层,整租,西南,2800,"白云路小区,越秀,东川路,距6号线团一大广场站约342米,白云路中段34号",精装修,白云路精靓两房，低楼层，新净光线好
3室2厅1卫,103平米,中层,整租,南,5000,"中山一路小区,越秀,杨箕,距1号线杨箕站约635米,中山一路单号5号至13号",精装修,中山一路 近地铁三房 精装修 安静 南向 住家 白领均可 来电约看
3室2厅1卫,67平米,高层,整租,北,4000,"越秀东园新村,越秀,东山,距6号线东山口站约480米,农林东路17号",中装修,东山口 农林上二横路 中层三房只要4000
2室1厅1卫,75平米,中层,整租,东,5488,"美东大厦,越秀,西门口,距1号线西门口站约195米,越秀区光塔路154号",豪华装修,西门口 光塔路美东大厦 豪装两房 拎包可入住
2室1厅1卫,80平米,中层,整租,南,5500,"建雅台,越秀,东川路,距1号线农讲所站约536米,东华西路13号之一",简装修,建雅台 实用2房 通风采光好 小区管理 近中华广场 东华西路电梯
2室1厅1卫,48平米,中层,整租,南,3500,"光塔路小区,越秀,西门口,距1号线西门口站约252米,越秀区光塔路",精装修,西门口 海珠中路小区 精装低层两房 间隔方正 朝天路 采光通风
2室1厅1卫,68平米,中层,整租,南,2900,"北较场路小区,越秀,小北,距5号线小北站约226米,越秀区北较场路",简装修,北较场路 精致二房 带阳台 业主出租
2室2厅1卫,88平米,高层,整租,北,6000,"淘金家园,越秀,淘金,距6号线黄花岗站约600米,淘金东路89号",简装修,淘金家园大社区小区配套成熟 温馨精致两房随时看房
2室2厅1卫,99平米,高层,整租,东南,8800,"越秀保利中环广场,越秀,环市东,距5号线淘金站约542米,越秀区建设中马路2号",精装修,诚信房源 实景图片 本人有锁匙随时方便看房 建设高尚住宅！！
2室2厅1卫,110平米,低层,整租,东南,7000,"嘉洲翠庭,越秀,小北,距2号线纪念堂站约653米,应元路捷元坊",精装修,嘉洲翠庭 电梯两房 东南靓向 带平台花园
3室2厅1卫,102平米,中层,整租,南,7300,"嘉颐居,越秀,建设路,距5号线淘金站约472米,越秀区建设二马路东六街",精装修,中环广场旁！电梯三房！家私家电全齐！双阳台！采光很好！随时看
2室1厅1卫,69平米,高层,整租,南,4000,"幸福小区,越秀,五羊新城,距5号线五羊邨站约108米,寺右一路一巷和二巷",精装修,五羊新城经典2室4000元月!!免费看房!
1室1厅1卫,30平米,中层,整租,南,2000,"东川路大院,越秀,东川路,距1号线烈士陵园站约300米,越秀区东川路",简装修,东川路 低层复式一房 采光好 有匙即看
2室1厅1卫,86平米,中层,整租,东南,5500,"文星阁,越秀,北京路,距1号线公园前站约220米,解放中路402号至454号",中装修,公园前 文星阁 电梯豪华两房一厅 小区管理安全采光好
3室2厅2卫,106平米,中层,整租,南北,9200,"锦城花园,越秀,东风东,距1号线杨箕站约364米,东风东路858号",精装修,锦城花园 精装106三房 朝花园泳池 配套齐全 随时可看
1室1厅1卫,50平米,高层,整租,南北,4500,"水荫路大院,越秀,水荫路,距5号线动物园站约456米,水荫路",精装修,水荫路军区大院 高层精装大面积一房一厅带天台花园 家私齐全
2室1厅1卫,45平米,高层,整租,南,3500,"合群一马路大院,越秀,东山,距6号线东湖站约501米,合群一马路近东华南路",简装修,合群一马路 电梯方正两房 家私电器全齐 拎包入住 看房方便
2室2厅1卫,73平米,低层,整租,东南,3800,"明月路小区,越秀,五羊新城,距5号线五羊邨站约620米,越秀区明月路",精装修,五羊新城 温馨两房 江边 冬暖夏凉 拎包入住
2室1厅1卫,60平米,中层,整租,南,4200,"西门口小区,越秀,西门口,距1号线西门口站约47米,西华路康王路人民路中山路",简装修,近地铁，家电齐全，拧包入住，租4200元
3室2厅1卫,68平米,中层,整租,南,3000,"大雅里小区,越秀,西门口,距2号线广州火车站约156米,人民北路大雅里1号",中装修,大雅里小区 精装三房 家私家电齐全 月租3000 免佣 看房来电约我
1室0厅1卫,25平米,高层,整租,南,1800,"龟岗大马路小区,越秀,东山,距1号线东山口站约441米,龟岗大马路近龟岗二马路",简装修,龟岗大马路 中层南向方正一房 家私电器全齐 拎包入住 随时可看
2室2厅1卫,70平米,高层,整租,南北,4000,"东环路2号大院,越秀,东风东,距5号线动物园站约265米,越秀区东环路2号",中装修,东风东路大院管理中层采光两房 安静 拎包入住 房子方正
2室1厅1卫,72平米,中层,整租,东北,5200,"羊和园,越秀,共和路,距1号线杨箕站约376米,中山一路共和三路9号",精装修,羊和园 精装大两房 住家陪读 白领合租 都可以 业主好说话
2室1厅1卫,55平米,高层,整租,南北,3800,"东风东路小区,越秀,东风东,距5号线动物园站约574米,东风东路与福今路交汇",中装修,东风东路水均大街两房中层 家电齐全 拎包入住 大院管理近育才
2室1厅1卫,58平米,高层,整租,南北,3600,"金羊花园,越秀,杨箕,距1号线杨箕站约178米,越秀中山一路49号",精装修,金羊花园 精装两居室 近地铁 环境温馨舒适
1室1厅1卫,45平米,低层,整租,南,3000,"雍景台,越秀,五羊新城,距5号线五羊邨站约426米,寺右二马路57号",精装修,眞实 雍景台 一房一厅 配套设施齐全 家电齐全 直接入住
3室1厅1卫,120平米,中层,整租,南,8000,"富力东堤湾,越秀,杨箕,距1号线杨箕站约255米,中山一路金羊三街",精装修,富力东堤湾 杨箕地铁站旁 装修漂亮 业主刚刚放租的
3室1厅1卫,110平米,低层,整租,南北,7000,"锦桦世家,越秀,东山,距1号线烈士陵园站约573米,东华东路367号",精装修,"锦桦世家电梯三房,家电齐全,陪读岩,光线好"
